Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
FuselageGeom,25.083146,23.859736,8.052355,7.956916
wing,40.177659,38.148996,2.580955,2.545758
PodGeom,5.940245,5.838099,0.305886,0.305886
PodGeom,5.940245,5.838099,0.305886,0.305886
VT,1.994423,1.888860,0.052527,0.051677
VT,1.994423,1.888860,0.052527,0.051677
cruise_prop1,0.629010,0.629010,0.005704,0.005704
cruise_prop1,0.629010,0.629010,0.005704,0.005704
cruise_prop1,0.629010,0.629010,0.005704,0.005704
cruise_prop1,0.629010,0.629010,0.005704,0.005704
cruise_prop1,0.629334,0.629334,0.005704,0.005704
cruise_prop1,0.629334,0.629334,0.005704,0.005704
cruise_prop1,0.629334,0.629334,0.005704,0.005704
cruise_prop1,0.629334,0.629334,0.005704,0.005704
cruise_prop1,0.629334,0.629334,0.005704,0.005704
cruise_prop1,0.629334,0.629334,0.005704,0.005704
cruise_prop1,0.629334,0.629334,0.005704,0.005704
cruise_prop1,0.629334,0.629334,0.005704,0.005704
PropGeom,0.637590,0.637590,0.005494,0.005494
PropGeom,0.637590,0.637590,0.005494,0.005494
PropGeom,0.637590,0.637590,0.005494,0.005494
PropGeom,0.637590,0.637590,0.005494,0.005494
PropGeom,0.637590,0.637590,0.005494,0.005494
PropGeom,0.637590,0.637590,0.005494,0.005494
PropGeom,0.637590,0.637590,0.005494,0.005494
PropGeom,0.637590,0.637590,0.005494,0.005494
PropGeom,0.630070,0.630070,0.005710,0.005710
PropGeom,0.630070,0.630070,0.005710,0.005710
PropGeom,0.630070,0.630070,0.005710,0.005710
PropGeom,0.630070,0.630070,0.005710,0.005710
PropGeom,0.630070,0.630070,0.005710,0.005710
PropGeom,0.630070,0.630070,0.005710,0.005710
PropGeom,0.630070,0.630070,0.005710,0.005710
PropGeom,0.630070,0.630070,0.005710,0.005710
HT,6.608185,6.557136,0.117994,0.117994
Totals,105.430320,101.711780,11.626212,11.493879

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
FuselageGeom_S_Surf0,25.083146,23.859736
wing_S_Surf0,20.088829,19.074498
wing_S_Surf1,20.088829,19.074498
PodGeom_S_Surf0,5.940245,5.838099
PodGeom_S_Surf1,5.940245,5.838099
VT_S_Surf0,1.994423,1.888860
VT_S_Surf1,1.994423,1.888860
cruise_prop1_S_Surf0,0.629010,0.629010
cruise_prop1_S_Surf1,0.629010,0.629010
cruise_prop1_S_Surf2,0.629010,0.629010
cruise_prop1_S_Surf3,0.629010,0.629010
cruise_prop1_S_Surf0,0.629334,0.629334
cruise_prop1_S_Surf1,0.629334,0.629334
cruise_prop1_S_Surf2,0.629334,0.629334
cruise_prop1_S_Surf3,0.629334,0.629334
cruise_prop1_S_Surf4,0.629334,0.629334
cruise_prop1_S_Surf5,0.629334,0.629334
cruise_prop1_S_Surf6,0.629334,0.629334
cruise_prop1_S_Surf7,0.629334,0.629334
PropGeom_S_Surf0,0.637590,0.637590
PropGeom_S_Surf1,0.637590,0.637590
PropGeom_S_Surf2,0.637590,0.637590
PropGeom_S_Surf3,0.637590,0.637590
PropGeom_S_Surf4,0.637590,0.637590
PropGeom_S_Surf5,0.637590,0.637590
PropGeom_S_Surf6,0.637590,0.637590
PropGeom_S_Surf7,0.637590,0.637590
PropGeom_S_Surf0,0.630070,0.630070
PropGeom_S_Surf1,0.630070,0.630070
PropGeom_S_Surf2,0.630070,0.630070
PropGeom_S_Surf3,0.630070,0.630070
PropGeom_S_Surf4,0.630070,0.630070
PropGeom_S_Surf5,0.630070,0.630070
PropGeom_S_Surf6,0.630070,0.630070
PropGeom_S_Surf7,0.630070,0.630070
HT_S_Surf0,3.304092,3.278568
HT_S_Surf1,3.304092,3.278568
