# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
5

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,PropGeom,0,PILVTQAVOP,0,0,1,6.123233995736766036e-17, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -1.000000000000000000e+00, 0.000000000000000000e+00, 6.123233995736766036e-17, 0.000000000000000000e+00, 5.491803278688525580e+00, 3.000000000000000000e+00, 6.999999999999999556e-01, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,12,17
# x,y,z,u,w
5.449445581410725659e+00, 3.309097699999999698e+00, 7.450275583074837948e-01, 1.000000000000000000e+00, 0.000000000000000000e+00
5.454289711848504751e+00, 3.309097699999999698e+00, 7.416617556416067458e-01, 1.000000000000000000e+00, 9.595583006934514658e-02
5.463349621780249521e+00, 3.309097699999999698e+00, 7.346260976082472638e-01, 1.000000000000000000e+00, 2.765358755368439447e-01
5.478783530695172210e+00, 3.309097699999999698e+00, 7.226405603726848703e-01, 1.000000000000000000e+00, 5.841612375912467181e-01
5.499646997829207073e+00, 3.309097699999999698e+00, 7.064392244876734894e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
5.520519153184789474e+00, 3.309097699999999698e+00, 6.902462084049032498e-01, 1.000000000000000000e+00, 1.415838762408753171e+00
5.534965386081908356e+00, 3.309097699999999698e+00, 6.773222933872925511e-01, 1.000000000000000000e+00, 1.723464124463156111e+00
5.540272965135159211e+00, 3.309097699999999698e+00, 6.667999819320644672e-01, 1.000000000000000000e+00, 1.904044169930654951e+00
5.534160975966325502e+00, 3.309097699999999698e+00, 6.549724416925161163e-01, 1.000000000000000000e+00, 2.000000000000000000e+00
5.518287362297847665e+00, 3.309097699999999698e+00, 6.454440847217631783e-01, 1.000000000000000000e+00, 2.095955830069344827e+00
5.497839099850479805e+00, 3.309097699999999698e+00, 6.409465931162797725e-01, 1.000000000000000000e+00, 2.276535875536843889e+00
5.476182129636484319e+00, 3.309097699999999698e+00, 6.473288278989374200e-01, 1.000000000000000000e+00, 2.584161237591246607e+00
5.459221264063627288e+00, 3.309097699999999698e+00, 6.679265068365720648e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
5.451097760056175190e+00, 3.309097699999999698e+00, 6.965853338342586909e-01, 1.000000000000000000e+00, 3.415838762408752949e+00
5.448991125558164228e+00, 3.309097699999999698e+00, 7.212090924220491139e-01, 1.000000000000000000e+00, 3.723464124463156111e+00
5.448948958032165280e+00, 3.309097699999999698e+00, 7.366861568403281213e-01, 1.000000000000000000e+00, 3.904044169930655173e+00
5.449445581410725659e+00, 3.309097699999999698e+00, 7.450275583074837948e-01, 1.000000000000000000e+00, 4.000000000000000000e+00
5.425511997644521855e+00, 3.421496863636363184e+00, 7.603574788319265032e-01, 1.090909090909090828e+00, 0.000000000000000000e+00
5.431516486814819800e+00, 3.421496863636363184e+00, 7.546451747401619059e-01, 1.090909090909090828e+00, 9.595583006934514658e-02
5.443427156162092828e+00, 3.421496863636362740e+00, 7.434697678333643811e-01, 1.090909090909090828e+00, 2.765358755368439447e-01
5.464104119440315266e+00, 3.421496863636362740e+00, 7.246633888004383461e-01, 1.090909090909090828e+00, 5.841612375912467181e-01
5.492757513229051369e+00, 3.421496863636363184e+00, 6.998045343204915003e-01, 1.090909090909090828e+00, 1.000000000000000000e+00
5.522711620539466182e+00, 3.421496863636363628e+00, 6.763202901507109344e-01, 1.090909090909090828e+00, 1.415838762408753171e+00
5.545584673393530117e+00, 3.421496863636363184e+00, 6.598266058185187077e-01, 1.090909090909090828e+00, 1.723464124463156111e+00
